epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,288.814,0.61407,1.51863,0.80935,1.02225,0.92922,0.3651,0.42738,0.27186,0.82297,0.37715,0.36374,0.23408,1.64897,2.74762,2.20939,1.38807,2.89884e-05,2.89884e-05,2.89884e-05
62,293.422,0.62065,1.5826,0.67525,1.02908,0.92922,0.3651,0.42738,0.27186,0.82297,0.37715,0.36374,0.23408,1.64897,2.74762,2.20939,1.38807,2.87529e-05,2.87529e-05,2.87529e-05
63,297.463,0.6361,2.11943,1.56002,1.07305,0.91797,0.36635,0.42455,0.27011,0.82423,0.37845,0.36038,0.23239,1.65855,2.7455,2.23707,1.3895,2.84938e-05,2.84938e-05,2.84938e-05
64,301.672,0.61854,1.70058,0.77833,1.01919,0.91797,0.36635,0.42455,0.27011,0.82423,0.37845,0.36038,0.23239,1.65855,2.7455,2.23707,1.3895,2.82112e-05,2.82112e-05,2.82112e-05
65,305.603,0.74175,1.49186,0.76015,1.04195,0.91797,0.36635,0.42455,0.27011,0.82423,0.37845,0.36038,0.23239,1.65855,2.7455,2.23707,1.3895,2.7905e-05,2.7905e-05,2.7905e-05
66,309.981,0.49669,1.19031,0.56352,0.98779,0.91404,0.38333,0.42359,0.30777,0.87057,0.36849,0.41448,0.25107,1.64606,2.76959,2.24101,1.38555,2.75753e-05,2.75753e-05,2.75753e-05
67,314.432,0.58558,1.44178,0.59908,0.96625,0.91404,0.38333,0.42359,0.30777,0.87057,0.36849,0.41448,0.25107,1.64606,2.76959,2.24101,1.38555,2.7222e-05,2.7222e-05,2.7222e-05
68,318.417,0.69252,1.99524,0.82568,1.09729,0.91404,0.38333,0.42359,0.30777,0.87057,0.36849,0.41448,0.25107,1.64606,2.76959,2.24101,1.38555,2.68451e-05,2.68451e-05,2.68451e-05
69,322.722,0.56975,1.58298,0.8237,0.97312,0.92101,0.38333,0.42184,0.29875,0.92803,0.36654,0.41731,0.23546,1.65213,2.77347,2.23938,1.38359,2.64447e-05,2.64447e-05,2.64447e-05
70,326.835,0.72409,1.38758,1.00427,1.0207,0.92101,0.38333,0.42184,0.29875,0.92803,0.36654,0.41731,0.23546,1.65213,2.77347,2.23938,1.38359,2.60207e-05,2.60207e-05,2.60207e-05
71,330.81,0.55681,1.35959,0.57614,0.95791,0.92101,0.38333,0.42184,0.29875,0.92803,0.36654,0.41731,0.23546,1.65213,2.77347,2.23938,1.38359,2.55731e-05,2.55731e-05,2.55731e-05
72,334.686,0.68105,1.37574,0.71017,0.93143,0.92555,0.36642,0.42149,0.29758,0.84544,0.37461,0.41018,0.23432,1.59363,2.79466,2.2759,1.37435,2.5102e-05,2.5102e-05,2.5102e-05
73,338.567,0.44669,1.45426,0.68795,0.93815,0.92555,0.36642,0.42149,0.29758,0.84544,0.37461,0.41018,0.23432,1.59363,2.79466,2.2759,1.37435,2.46073e-05,2.46073e-05,2.46073e-05
74,342.43,0.56744,1.67699,0.74592,0.9914,0.92555,0.36642,0.42149,0.29758,0.84544,0.37461,0.41018,0.23432,1.59363,2.79466,2.2759,1.37435,2.40891e-05,2.40891e-05,2.40891e-05
75,346.432,0.66977,1.53597,0.73869,1.10265,0.92019,0.38228,0.42153,0.29748,0.85353,0.37257,0.41073,0.23437,1.61552,2.78342,2.30744,1.38146,2.35472e-05,2.35472e-05,2.35472e-05
76,350.533,0.50341,1.31501,0.57735,0.9268,0.92019,0.38228,0.42153,0.29748,0.85353,0.37257,0.41073,0.23437,1.61552,2.78342,2.30744,1.38146,2.29819e-05,2.29819e-05,2.29819e-05
77,354.394,0.56928,1.57825,0.60698,0.99951,0.92019,0.38228,0.42153,0.29748,0.85353,0.37257,0.41073,0.23437,1.61552,2.78342,2.30744,1.38146,2.23929e-05,2.23929e-05,2.23929e-05
78,358.755,0.66917,1.62465,0.95244,1.04853,0.92061,0.38333,0.42102,0.2971,0.85772,0.37084,0.41029,0.23415,1.65358,2.80935,2.33002,1.40465,2.17805e-05,2.17805e-05,2.17805e-05
79,362.689,0.59075,1.26006,0.55528,0.97095,0.92061,0.38333,0.42102,0.2971,0.85772,0.37084,0.41029,0.23415,1.65358,2.80935,2.33002,1.40465,2.11444e-05,2.11444e-05,2.11444e-05
